,title,author,year,venue,abstract,container_type,gsrank,num_citations
236,SAAE-DNN: Deep Learning Method on Intrusion Detection,"['C Tang', 'N Luktarhan', 'Y Zhao']",2020,Symmetry,"the accuracy of intrusion detection in binary-classification and multi-classification, we propose  a new network intrusion detection model SAAE- For some attacks with few samples,  adversarial learning method is considered, which can synthesize similar attacks and increase the",Publication,237,6
237,Evasion attacks against machine learning at test time,"['B Biggio', 'I Corona', 'D Maiorca', 'B Nelson']",2013,… on machine learning …,"This produces a similar effect to that shown by mimicry attacks in network intrusion detection  [11].For this reason, although our setting is rather different, in the sequel we refer to this extra  term as the mimicry component. Finally, we point out that, when mimicry is used (λ > 0), our",Publication,238,914
238,Mdgan: Boosting anomaly detection using\\multi-discriminator generative adversarial networks,"['Y Intrator', 'G Katz', 'A Shabtai']",2018,arXiv preprint arXiv:1810.05221,"We argue that these results show that are model deploys a variant of adversarial training,  in the sense that MDGAN performs better when the  A detailed analysis on nsl-kdd dataset  using various machine learning techniques for intrusion detection. International Journal of",Publication,239,15
239,"PhD Thesis Attacks Against Intrusion Detection Networks: Evasion, Reverse Engineering and Optimal Countermeasures","['SP Portillo', 'AO Dıaz-Pabón', 'JME Tapiador']",2014,no. June,"In the first contribution, we propose evasion and reverse engineering attacks to anomaly  detectors that use classification algorithms at the core of the detection engine.  We demonstrate  that using well-known classification algorithms for intrusion detection is vulnerable to reverse",Publication,240,1
240,"PhD Thesis Attacks Against Intrusion Detection Networks: Evasion, Reverse Engineering and Optimal Countermeasures","['SP Portillo', 'AO Dıaz-Pabón', 'JME Tapiador']",2014,no. June,"In the first contribution, we propose evasion and reverse engineering attacks to anomaly  detectors that use classification algorithms at the core of the detection engine.  We demonstrate  that using well-known classification algorithms for intrusion detection is vulnerable to reverse",Publication,241,1
241,Intrusion detection in advanced metering infrastructure based on consumption pattern,"['P Jokar', 'N Arianpoo', 'VCM Leung']",2013,2013 IEEE International …,"In this paper, we leverage the predictability of AMI data, to detect adversarial activities in AMI.  The main contributions of this work are:  system behavior for intrusion detection, we employ  the predictability of AMI data as an important source of information for intrusion detection. •",Publication,242,23
242,Game theoretical adaptation model for intrusion detection system,"['J Stiborek', 'M Grill', 'M Rehak', 'K Bartos']",2012,Advances on Practical …,"This behavior corresponds to wider context of targeted attacks on learning processes,  studied in the fields of adversarial machine learning and adversarial classification [4]. Therefore,  if we want to introduce an environment-driven adaptation into the intrusion detection system,",Publication,243,6
243,Adversarial Machine Learning: Difficulties in Applying Machine Learning to Existing Cybersecurity Systems.,"['N Rahimi', 'J Maynor', 'B Gupta']",2020,CATA,"Most Intrusion Detection Systems (specifically referring to Network Intrusion Detection  Systems) like Snort or Suricata rely on catching  There are several methods we can employ to  make these algorithms more intelligent, by anticipating an adversarial influence on our training",Publication,244,4
244,Adversarial machine learning,['JD Tygar'],2011,IEEE Internet Computing,"And while various research groups around the world are hard at work developing powerful  adversarial machine learning algorithms, more work is needed before machine learning can  fulfill its full promise in improving our cybersecurity algorithms. To find out more about the",Publication,245,53
245,UTTAMA: An intrusion detection system based on feature clustering and feature transformation,"['A Nagaraja', 'B Uma', 'R kumar Gunupudi']",2020,Foundations of Science,"The traditional intrusion detection can be identified in the network and data link layers.  Intrusion detection (ID) may be classified as host based and network based. Attacks and threats  in host based intrusion detection are identified in computer logs, system files. In network based",Publication,246,12
246,A semi-self-taught network intrusion detection system,"['F Zhao', 'H Zhang', 'J Peng', 'X Zhuang', 'SG Na']",2020,Neural Computing and …,Networks (GAN) that can be used in IDS with high level of resistance to Adversarial Attacks.  This approach exploits old datasets that are very easy to be classified by a nonlinear system.  The GAN methodology is based on the Nash equilibrium of a game (a state that can be,Publication,247,6
247,Intrusion detection system: A comprehensive review,"['HJ Liao', 'CHR Lin', 'YC Lin', 'KY Tung']",2013,Journal of Network and Computer …,"Take the pattern-based IDS for an instance, although it is simple to implement and very  effective to inspect known attacks, the approach could hardly identifies unknown attacks, attacks  concealed by evasion techniques and many variants of known attacks. Also, several rule-",Publication,248,1147
248,Crook-sourced intrusion detection as a service,"['F Araujo', 'G Ayoade', 'K Al-Naami', 'Y Gao']",2021,Journal of Information …,"In our study, we considered three encrypted traffic evasion techniques published in the  literature: Pad-to-MTU [50], Direct Target Sampling [81], and Traffic Morphing [81]. Pad-to-MTU  (pMTU) adds extra bytes to each packet length until it reaches the Maximum Transmission Unit",Publication,249,0
249,Generative adversarial network and auto encoder based anomaly detection in distributed IoT networks,"['T Zixu', 'KSK Liyanage']",2020,GLOBECOM 2020-2020 …,"[16] used AE to develop an unsupervised learning based intrusion detection system. This  spares the effort of manual labeling and endows the model with abilities in detecting the unseen  anomalous traffic. However, their work was generally implemented based on the scenario",Publication,250,4
250,Adversarial Attack Against Network Intrusion Detection Systems with Deep Learning,"['M MARIAMA', 'H KOIDE', 'K SAKURAI']",NA,NA,Many machine learning (ML) and deep learning (DL) techniques have been adopted as a new approach for Network Intrusion Detection System (NIDS) due to their ability to learn underlying threat patterns/features. Recent researches revealed ML/DL-based models are,Publication,251,0
251,Adversarial machine learning for cyber security,"['MJ De Lucia', 'C Cotton']",2019,Journal of Information Systems Applied Research,"Machine Learning has become integrated into many different technologies to include cyber  security (ie Intrusion Detection Systems (IDS), traffic analysis, malware and network scanning  detection). Adversaries will attempt to circumvent and negatively affect the classification",Publication,252,7
252,GaDoT: GAN-based Adversarial Training for Robust DDoS Attack Detection,"['M Abdelaty', 'S Scott-Hayward']",2021,… IEEE Conference on …,"use their knowledge of the intrusion detection logic to generate malicious  adversarial training,  in which the training set is augmented with adversarial traffic samples. This paper presents  an adversarial training approach called GADoT, which leverages a Generative Adversarial",Publication,253,0
253,G-IDS: Generative Adversarial Networks Assisted Intrusion Detection System,"['M Hasan Shahriar', 'N Imtiazul Haque']",2020,arXiv e …,"However, emerging CPS technologies suffer from imbalanced and missing sample data,  which makes the training of IDS difficult. In this paper, we propose a generative adversarial  network (GAN) based intrusion detection system (G-IDS), where GAN generates synthetic",Publication,254,0
254,CBSigIDS: towards collaborative blockchained signature-based intrusion detection,"['S Tug', 'W Meng', 'Y Wang']",2018,… on Internet of Things (iThings) and …,"• Adversarial scenarios. Similar to other studies in the area of intrusion detection, this work  mainly considers several common attacks like flooding attack and worm attack. The experimental  results demonstrated the feasibility and effectiveness of our approach. In our future work,",Publication,255,15
255,DOOM: a novel adversarial-DRL-based op-code level metamorphic malware obfuscator for the enhancement of IDS,"['M Sewak', 'SK Sahay', 'H Rathore']",2020,Adjunct Proceedings of the 2020 ACM …,"Therefore, an existing Intrusion Detection Systems (IDS) is very much likely to encounter  such a metamorphic malware [10] created by DOOM in real-life than a random perturbations of  an binary that does not resemble a malware or even preserve the actual file functionality. Our",Publication,256,9
256,MAD-GAN: Multivariate anomaly detection for time series data with generative adversarial networks,"['D Li', 'D Chen', 'B Jin', 'L Shi', 'J Goh', 'SK Ng']",2019,International Conference on …,"In this work, we propose an unsupervised multivariate anomaly detection method based on  Generative Adversarial Networks (GANs), using  Application cases include event detection  [25], fault detection [11], and intrusion detection [22], which are throughout numerous industries",Publication,257,218
257,An Empirical Study on Unsupervised Network Anomaly Detection using Generative Adversarial Networks,"['T Truong-Huu', 'N Dheenadhayalan']",2020,Proceedings of the 1st …,"In this paper, we studied the use of generative adversarial networks in network anomaly  detection. We presented different GAN architectures  UNSW-NB15: a comprehensive data set  for network intrusion detection systems (UNSW-NB15 network data set). In Proc. 2015 Military",Publication,258,4
258,"Secure machine learning, a brief overview","['X Liao', 'L Ding', 'Y Wang']",2011,2011 Fifth International Conference on …,"However this is not always true in the real adversarial decision-making situations where the  future data sets and the training data set are no  In literature, intrusion detection systems  have been approached by various machine learning techniques. However, there is no a review",Publication,259,22
259,Efficient intrusion detection with bloom filtering in controller area networks,"['B Groza', 'PS Murvay']",2018,IEEE Transactions on Information …,"Our adversarial model accounts for two actions which we consider to be the most relevant  actions of an intruder: replay and modification attacks. In case of a replay attack, a frame that  is identical to the genuine frame is sent over the bus. For modification attacks, the data-field of",Publication,260,50
260,"Deep learning approaches for anomaly-based intrusion detection systems: A survey, taxonomy, and open issues","['A Aldweesh', 'A Derhab', 'AZ Emam']",2020,Knowledge-Based Systems,"learning for intrusion detection security, without restriction to a specific application domain. It  also covers both generative and discriminative deep learning  They proposed a GAN  framework that generates samples of adversarial attacks that try to flood the IDS. The framework",Publication,261,125
261,Threat Analysis for Automotive CAN Networks: A GAN Model-Based Intrusion Detection Technique,"['G Xie', 'LT Yang', 'Y Yang', 'H Luo', 'R Li']",2021,IEEE Transactions on …,"learning models are the current mainstream intrusion detection techniques for threat analysis,  and the state-of-the-art intrusion detection technique introduces the Generative Adversarial  Networks (GAN) model to generate usable attacked samples to supplement the training",Publication,262,3
262,SQL injection attacks detection in adversarial environments by k-centers,"['XR Wu', 'PPK Chan']",2012,… Conference on Machine Learning and …,"with the problem of how to detect SQLIAs with learning and adaption capabilities in adversarial  environments.  adversarial learning, the learning system faces an adversarial opponent  who wants the system fail [22]. Adversarial problems include spam filtering, intrusion detection",Publication,263,12
263,Deep Learning-based intrusion detection scheme for very small number of unknown intrusion instances,"['GP Joshi', 'E Yang']",2019,… of the 9th International Conference on …,"training samples usually cause significant challenges in training supervised and semi-supervised  classifiers [1]. In this work, we proposed a general network intrusion detection  adversarial  learning with statistical learning and exploiting learning-based data augmentation. Many",Publication,264,1
264,ECEM-Generating Adversarial Logs under Black-box Setting in Web Security,"['Y Fei', 'L Wang', 'R He', 'J Lu']",2020,GLOBECOM 2020-2020 IEEE …,"We introduce Exploratory Character Edit Method (ECEM), requiring only detection labels to  generate adversarial logs in web security. It is  (Intrusion Detection System). Experiments on  an open data set show that our adversarial attack outperforms two textual adversarial attacks",Publication,265,0
265,ARIES: a novel multivariate intrusion detection system for smart grid,"['P Radoglou Grammatikis', 'P Sarigiannidis']",2020,Sensors,"The aim of an adversarial network concerning the problem of the anomaly detection is to  train an unsupervised network, which will be capable of recognising anomalies, using a  dataset, which includes data of a single class. In particular, this data is used only for the",Publication,266,9
266,Combinatorial Boosting of Classifiers for Moving Target Defense Against Adversarial Evasion Attacks,"['R Izmailov', 'P Lin', 'S Venkatesan', 'S Sugrim']",2021,… of the 8th ACM Workshop on …,and adversarial scenarios. Two versions of the approach were implemented and tested for   learning models operating in two different modalities (network intrusion detection and color  image classification). Both show significant increase of resiliency against adversarial evasion,Publication,267,0
267,"Keyed learning: An adversarial learning framework—formalization, challenges, and anomaly detection applications",['F Bergadano'],2019,ETRI Journal,"In particular, in keyed intrusion detection, the secret key is used only as a “word delimiter”  in intrusion payloads. In this study, we define keyed learning as a more general concept that  affects any form of learning and uses any kind of secret information.",Publication,268,2
268,Packet-Level Adversarial Network Traffic Crafting using Sequence Generative Adversarial Networks,"['Q Cheng', 'S Zhou', 'Y Shen', 'D Kong', 'C Wu']",2021,arXiv preprint arXiv …,"seriously threatens the current IoT security landscape, which requires a robust network  intrusion detection system (NIDS). Despite superior detection accuracy, existing machine learning  or deep learning based NIDS are vulnerable to adversarial examples. Recently, generative",Publication,269,0
269,Adversarial Traffic Modifications for the Network Intrusion Detection Domain: A Practical Adversarial Network Traffic Crafting Approach,['M Simidžioski'],2021,NA,"Adversarial attacks pose a risk to machine learning (ML)-based network intrusion  detection systems (NIDS). In this manner, it is of great significance to explore to what degree  these methods can be viably utilized by potential adversaries. The majority of",Publication,270,0
270,A comparative study of off-line deep learning based network intrusion detection,"['J Yan', 'D Jin', 'CW Lee', 'P Liu']",2018,2018 Tenth International …,"We also study the unsupervised generative deep learning models for intrusion detection,  because those models can extract useful and  For example, Auxiliary-Classifier Generative  Adversarial Nets (AC-GAN) [19] can generate high-quality images after training on ImageNet",Publication,271,27
271,Deep learning methods in network intrusion detection: A survey and an objective comparison,"['S Gamage', 'J Samarabandu']",2020,Journal of Network and Computer …,"learning models within a controlled environment, especially on recent intrusion detection  datasets. In this paper, we first introduce a taxonomy of deep learning models in intrusion detection   Then we train and evaluate four key deep learning models - feed-forward neural network",Publication,272,39
272,Intrusion detection in distributed frequency control of isolated microgrids,"['LY Lu', 'HJ Liu', 'H Zhu', 'CC Chu']",2019,IEEE Transactions on Smart …,Two attack models against the proposed distributed droop control are introduced in this  section. The ensuing attack detection and localization strategies will also been examined. Such  strategies are anomaly tests based on examining the secondary control objectives (1) and (2),Publication,273,26
273,A generative adversarial approach for packet manipulation detection,['Å Kamphaug'],2018,NA,This project aims on how to create an solution for a generative adversarial network as an  intrusion detection system(IDS). It will not however try to solve every problem that a final  product may have. The main priority is to make a solution that uses a Generative,Publication,274,1
274,Towards a reliable comparison and evaluation of network intrusion detection systems based on machine learning approaches,"['R Magán-Carrión', 'D Urda', 'I Díaz-Cano', 'B Dorronsoro']",2020,Applied Sciences,"In contrast, Deep Neural Networks (DNNs), Recurrent Neural Networks (RNNs) or Generative  Adversarial Networks (GANs) are some examples of deep learning-based solutions. Both  approaches have drawbacks and advantages concerning model training time, learning and",Publication,275,33
275,Cyberspace security using adversarial learning and conformal prediction,['H Wechsler'],2015,Intelligent Information Management,"It is about intrusion detection and is adversarial in nature. It is crucial for both biological (eg,  immune system) and machine Oracle systems to recognize patterns as friend or foe and to  respond to them appropriately. Failure to recognize pathogens or subterfuge such as Trojan",Publication,276,12
276,"Situation, trends and prospects of deep learning applied to cyberspace security","['Y Zhang', 'Y Dong', 'C Liu', 'K Lei', 'H Sun']",2018,Journal of computer research …,", feature extraction and learning performance. Currently deep learning is mainly applied to  malware detection and intrusion detection, and  using classification models are vulnerable  to adversarial attacks and the most effective solution is adversarial training; collaborative deep",Publication,277,11
277,Covert Attacks through Adversarial Learning: Studying the Effect of Lane Keeping Attacks on the Safety of Autonomous Vehicles,"['F Farivar', 'MS Haghighi', 'A Jolfaei']",2021,… /ASME Transactions on …,"After that, we show how an intrusion detection system (IDS) can be designed for such  stealthy attacks to alert the driver in a timely manner. In the case of LK attack, the IDS works  based on reconstruction of road curves by using GPS data and comparing them against offline (",Publication,278,2
278,Improving robustness of {ML} classifiers against realizable evasion attacks using conserved features,"['L Tong', 'B Li', 'C Hajaj', 'C Xiao', 'N Zhang']",2019,28th {USENIX} Security …,"attack on machine learning was devised by Fogla et al. [11 12], who developed an attack  on anomalybased intrusion detection systems. Šrndic and Laskov [37] present a case study of  an evasion attack on a state-of-theart PDF malware classifier, PDFRate. Xu et al. [44] propose",Publication,279,34
279,Ilab: An interactive labelling strategy for intrusion detection,"['A Beaugnon', 'P Chifflier', 'F Bach']",2017,"… on Research in Attacks, Intrusions, and …","We compare ILAB with two state-of-the-art active learning methods for intrusion detection  [14, 40] on two detection problems. We demonstrate that ILAB improves the scalability without  reducing the effectiveness. Up to our knowledge, [14, 40] have never been compared.",Publication,280,25
280,Adversarial Drift Detection in Intrusion Detection System,"['Y Qian', 'X Guan']",NA,Telecommunications Science,The experiment on KDD Cup99 shows that the weighted Rényi distance is able to perfectly  detect the adversarial drift， and improve the intrusion detection rate by retraining the model.  Key words： intrusion detection， attack traffic， adversarial drift， weighted Rényi distance,Publication,281,0
281,Intrusion Detection using Machine Learning and Deep Learning,"['VR Varanasi', 'S Razia']",2019,International Journal of Recent …,"With the increase in usage of networking technology and the Internet, Intrusion  detection becomes important and challenging  Intrusion Detection system is an application  that inspects network systems for any intrusions. Any suspicious activity will be reported to the",Publication,282,3
282,Towards Adversarial Resilience in Proactive Detection of Botnet Domain Names by using MTD,"['C Dietz', 'G Dreo', 'A Sperotto']",2020,NOMS 2020-2020 IEEE …,", these machine learning based classifiers can be circumvented by applying adversarial  learning techniques. As a consequence, there is a need for resilience against adversarial  learning in current Intrusion Detection Systems. In our work, we focus on adversarial learning in",Publication,283,1
283,Data augmentation in network intrusion detection based on S-DCGAN,"['M Su', 'SC Chai']",2021,2021 40th Chinese Control Conference (CCC),"Aiming at the low detection accuracy problem of small samples in network  intrusion detection, this paper researches the data expansion method based on the generative  adversarial network algorithm. The data sample is generated to supplement the small data set",Publication,284,0
284,Adversarial detection with model interpretation,"['N Liu', 'H Yang', 'X Hu']",2018,Proceedings of the 24th ACM SIGKDD …,"Adversarial Training We use adversarial training [22] as the fundamental defensive technique  to improve the robustness of spammer  Minds-minnesota intrusion detection system.  Next generation data mining (2004). [20] Jun Gao, Ninghao Liu, Mark Lawley, and Xia Hu.",Publication,285,36
285,Are machine learning based intrusion detection system always secure? An insight into tampered learning,"['RK Sharma', 'HK Kalita', 'B Issac']",2018,Journal of Intelligent & Fuzzy …,Altogether a different discipline called ‘Adversarial Learning’ have come up as a separate  dimension of study. The work in this paper is to test the robustness of online machine learning  based IDS to carefully crafted packets by attacker called poison packets. The objective is to,Publication,286,6
286,Challenge-based collaborative intrusion detection networks under passive message fingerprint attack: a further analysis,"['W Li', 'LF Kwok']",2019,Journal of Information Security and Applications,"With the adversarial techniques being more complicated, a single or isolated IDS becomes  difficult to detect advanced attacks and could be easily bypassed. These attacks would cause  unexpected damage without timely detection (ie, causing paralysis of the entire network). To",Publication,287,12
287,TO FIND NEW EVASION TECHNIQUES ON NETWORK INTRUSION DETECTION SYSTEM,"['RR PATIL', 'PR DEVALE']",NA,NA,"In this paper [5] a framework is created for testing the degree to which network intrusion  detection systems (NIDS) detect and handle evasion attacks. This prototype system, idsprobe,  takes as input a packet trace and from it constructs a configurable set of variant traces that",Publication,288,0
288,DIGFuPAS: Deceive IDS with GAN and Function-Preserving on Adversarial Samples in SDN-enabled networks,"['PT Duy', 'NH Khoa', 'AGT Nguyen', 'VH Pham']",2021,Computers & Security,"of small perturbation which clearly shows that GAN-based approach can evade the intrusion  detection techniques. Then, utilizing generated adversarial data, we present a repetitive  training solution for classifier to prevent attackers disrupting ML-based detection systems that",Publication,289,1
289,Intrusion detection over encrypted network data,"['L Karaçay', 'E Savaş', 'H Alptekin']",2020,The Computer Journal,"SOC are also motivated to keep their models private to capitalize on the models that are  their propriety expertise, and to protect their detection strategies against adversarial machine  learning. In this paper, we develop a protocol for privately evaluating detection models on the",Publication,290,4
290,Building an effective intrusion detection system using the modified density peak clustering algorithm and deep belief networks,"['Y Yang', 'K Zheng', 'C Wu', 'X Niu', 'Y Yang']",2019,Applied Sciences,"As far as we know, there are no reports on DPCA and DBN hybrid methods for intrusion  detection, although related works to DPCA have been done in other  For future work, we plan  to use the adversarial learning method to synthesize U2R and R2L attacks, thereby increasing",Publication,291,61
291,Adversarial machine learning in smart energy systems,"['MC Bor', 'AK Marnerides', 'A Molineux', 'S Wattam']",2019,Proceedings of the …,"An adversarial ML would, in this context, be capable of learning the thresholds at which the  rule-based warnings are fired by inspecting  , and production of a machine-learning based  intrusion detection system, tuned to advance the current capabilities of the rule-based system.",Publication,292,3
292,"Evasion Attacks on Network Intrusion Detection: Investigation, Automation, and Mitigation",['Z Wang'],2021,NA,which employs automated testing and symbolic execution techniques to automatically  explore the program space of the Linux TCP stack and thereby discover network packets that  can evade deep packet inspection used by modern stateful firewalls and intrusion detection,Publication,293,0
293,Adversarial support vector machine learning,"['Y Zhou', 'M Kantarcioglu', 'B Thuraisingham']",2012,Proceedings of the 18th …,"Many learning tasks, such as intrusion detection and spam filtering, face adversarial attacks.   We present two attack models and an adversarial SVM learning model against each attack  model. We demonstrate that our adversarial SVM model is much more resilient to adversarial",Publication,294,121
294,Scission: Signal characteristic-based sender identification and intrusion detection in automotive networks,"['M Kneib', 'C Huth']",2018,Proceedings of the 2018 ACM SIGSAC Conference on …,"The missing sender authentication by design of the CAN bus enables adversarial access  to vehicle functions with severe consequences. In order to address this problem, we propose  Scission, an Intrusion Detection System (IDS) which uses fingerprints extracted from CAN",Publication,295,82
295,Comparative analysis of ML classifiers for network intrusion detection,"['AM Mahfouz', 'D Venugopal', 'SG Shiva']",2020,Fourth international congress on …,"Machine learning methods are one of the predominant approaches to intrusion detection,  where we learn models from data to differentiate  Specifically, we evaluate several well-known  ML methods for intrusion detection along the following dimensions: feature selection,",Publication,296,20
296,MARK-ELM: Application of a novel Multiple Kernel Learning framework for improving the robustness of Network Intrusion Detection,"['JM Fossaceca', 'TA Mazzuchi', 'S Sarkani']",2015,Expert Systems with Applications,"In anticipation of achieving our goal to apply a machine learning approach to the large  scale problem of Network Intrusion Detection, we  Operation in an adversarial environment  – As attacker tactics shift to evade detection, most learning schemes will fail to adapt as the",Publication,297,95
297,DÏoT: A federated self-learning anomaly detection system for IoT,"['TD Nguyen', 'S Marchal', 'M Miettinen']",2019,2019 IEEE 39th …,"To the best of our knowledge, it is the first system to employ a federated learning approach  to anomaly-detection-based intrusion detection.  to ’poison’ the training process of the  system by forging packets as adversarial examples that are specifically meant to influence the",Publication,298,162
298,Assessing optimizer impact on dnn model sensitivity to adversarial examples,"['Y Wang', 'J Liu', 'J Mišić', 'VB Mišić', 'S Lv', 'X Chang']",2019,IEEE Access,system dataset) and DREBIN (an android malware detection dataset) in order to verify  the suitability for intrusion detection and malware detection tasks in [26]. These discussions  motivate the application of JSMA to synthesize adversarial examples in our experiments.,Publication,299,26
299,Practical machine learning for cloud intrusion detection: challenges and the way forward,"['RSS Kumar', 'A Wicker', 'M Swann']",2017,… of the 10th ACM Workshop on …,"Results from [11, 13] show that GANs can produce adversarial examples that successfully  trick the intrusion detection system. We posit that these same techniques can be used to  synthesize attack data for evaluation. There are only two perceived drawbacks: the bootstrap",Publication,300,30
300,GENPass: A general deep learning model for password guessing with PCFG rules and adversarial generation,"['Y Liu', 'Z Xia', 'P Yi', 'Y Yao', 'T Xie']",2018,2018 IEEE …,"RELATED WORKS In the previous section, we do some research on network attack and  intrusion detection [10]–[22]. In this section, we first describe traditional approaches to crack  password and analyze their disadvantages. Then we introduce the recent development of deep",Publication,301,19
301,Leaky Training: A Robustness Improvement Scheme for Autoencoder Based Network Intrusion Detection System under Online Learning,"['Z Song', 'J Yu', 'Y He', 'J He']",2021,2021 4th International Conference on Data …,"We choose the KDD 99 set, which is a classic and well-known data set specially used for  intrusion detection. It is a feature extraction version of the DARPA  AA-HMM: An antiadversarial  hidden markov model for network-based intrusion detection. Applied Sciences 8, 2421",Publication,302,0
302,Cyber security meets artificial intelligence: a survey,['J Li'],2018,Frontiers of Information Technology & Electronic …,"deep learning, can be introduced into cyber security to construct smart models for implementing  malware classification and intrusion detection  defense and protection technologies to  combat adversarial machine learning, preserve privacy in machine learning, secure federated",Publication,303,49
303,Detect & Reject for Transferability of Black-box Adversarial Attacks Against Network Intrusion Detection Systems,"['I Debicha', 'T Debatty', 'JM Dricot', 'W Mees', 'T Kenaza']",NA,NA,"adversarial images designed to fool a specific model can deceive other machine learning  models. In this paper, we investigate the transferability of adversarial network traffic against  multiple machine learning-based intrusion detection  the ensemble intrusion detection system,",Publication,304,0
304,Deep learning techniques for cyber security intrusion detection: A detailed analysis,"['MA Ferrag', 'L Maglaras', 'H Janicke']",2019,… Symposium for ICS & …,"In this study, we present a detailed analysis of deep learning techniques for intrusion  detection. Specifically, we analyze seven deep learning models, including, deep neural networks,  recurrent neural networks, convolutional neural networks, restricted Boltzmann machine,",Publication,305,15
305,Dynamic bayesian games for adversarial and defensive cyber deception,"['L Huang', 'Q Zhu']",2019,Autonomous cyber deception,"To tilt the information asymmetry, we can either continue to develop the intrusion detection  system to increase the TPR with decreased FPR or refer to defensive deception techniques  to create a sufficient amount of uncertainties for the attackers. Use of defensive and active",Publication,306,24
306,Resampling imbalanced data for network intrusion detection datasets,"['S Bagui', 'K Li']",2021,Journal of Big Data,Douzas and Bacao [7] developed a conditional version of Generative Adversarial Networks  to approximate the true data distribution and generate data for minority classes of various  imbalanced datasets. Douzas et al. [8] presented an oversampling method based on k-means,Publication,307,14
307,Cross-layer based multiclass intrusion detection system for secure multicast communication of MANET in military networks,"['MP Arthur', 'K Kannan']",2016,Wireless Networks,We introduce a novel indirect internal stealthy attack and known direct internal stealthy  attacks such as black hole and deny-to-forward attacks on tree-based multicast routing protocol.  These internal attacks can induce the performance degradation in the multicast group. We,Publication,308,25
308,Analyzing root causes of intrusion detection false-negatives: Methodology and case study,"['E Ficke', 'KM Schweitzer']",2019,MILCOM 2019-2019 …,"While it may be intuitive to speculate that attackers have been outmaneuvering IDS  developers in this adversarial game of cat and mouse, as hinted in [2], we need to precisely pin  down the causes of such decreasing effectiveness. It is important then, to seek approaches to",Publication,309,5
309,Anomaly detection with generative adversarial networks for multivariate time series,"['D Li', 'D Chen', 'J Goh', 'S Ng']",2018,arXiv preprint arXiv:1809.04758,"The simultaneous training of a generator and a discriminator in an adversarial fashion is  highly suggestive for using the GAN framework for anomaly detection. The current successes  of GANs are mainly in generating realistic-looking images. In our CPS and IoT scenarios, we",Publication,310,144
310,AN EFFICIENT STRUCTURE TO FIND NEW EVASION TECHNIQUES ON NETWORK INTRUSION DETECTION SYSTEM,"['RR PATIL', 'PR DEVALE']",NA,NA,"The main aim of this paper is to develop a network based intrusion detection system based  on modified Apriori approach for attack detection and test the input thus produced by the Apriori  algorithm with the well known snort intrusion detection system, once a candidate sets for",Publication,311,0
311,WILS-TRS—A novel optimized deep learning based intrusion detection framework for IoT networks,"['B Jothi', 'M Pushpalatha']",2021,Personal and Ubiquitous Computing,"It talks about IoT attack detection in Section 2 The on-time selection, attack models, and  suggested learning framework is outlined in Section 3. Section 4 presents the experimental  setup and other benchmark details. Section 5 presents the results from extensive",Publication,312,2
312,An Efficient Intrusion Detection Method Based on LightGBM and Autoencoder,"['C Tang', 'N Luktarhan', 'Y Zhao']",2020,Symmetry,"also uses VAE and DAE for intrusion detection and compares it with commonly used machine  learning algorithms. The performance of the  , the adversary can produce an effective  adversarial example against the trained DNN classifier. They trained a DNN model for a network",Publication,313,8
313,A network security classifier defense: against adversarial machine learning attacks,"['MJ De Lucia', 'C Cotton']",2020,… on wireless security and machine learning,"Adversarial training employs AML to optimize the adversarial objective to create modified  examples via perturbation of attack examples to  Thus, the goal of an attacker is to evade (cause  misclassification) an intrusion detection system (IDS) classifier by perturbing the attack",Publication,314,3
314,Distributed privacy-preserving collaborative intrusion detection systems for VANETs,"['T Zhang', 'Q Zhu']",2018,IEEE Transactions on Signal and Information …,"plays an important role in mitigating the threat of VANETs by using signature-based and/or  anomalybased approaches to detect adversarial behaviors [2]. Among many architectures of  IDSs, the collaborative IDSs (CIDSs) have been proposed to enable the sharing of detection",Publication,315,92
315,Adversarial intrusion detection against denial of service attack for networked system,"['D Yanbo', 'Z Peng', 'L Xue', 'P Chen']",2018,Chinese Journal of Scientific …,"In this paper,one new type of Do S detection method using adversarial machine learning is  proposed. Do S attackers' capacities to avoid detection are considered. Thereby,the Stackelberg  leader(the attacker)-followers(the classifier) model to analysis the corresponding cost",Publication,316,0
316,Data analytics for network intrusion detection,"['L Wang', 'R Jones']",2020,Journal of Cyber Security Technology,"The BDA of streaming data for intrusion prediction, big data-specific parallelization  techniques, high-performance computing for the real-time prediction of attacks and adversarial  machine learning for the online/real-time detection of network intrusions are our future work.",Publication,317,1
317,Generative Adversarial Attributed Network Anomaly Detection,"['Z Chen', 'B Liu', 'M Wang', 'P Dai', 'J Lv', 'L Bo']",2020,Proceedings of the 29th ACM …,"In this paper, we propose a generative adversarial attributed network (GAAN) anomaly  detection framework. The fake graph nodes are  Multi-centrality graph spectral decompositions  and their application to cyber intrusion detection. In IEEE International Conference on",Publication,318,3
318,Anomaly network intrusion detection using hidden Markov model,"['CM Chen', 'DJ Guan', 'YZ Huang', 'YH Ou']",2016,Int. J. Innov. Comput. Inform …,"As the duration of a stealthy attack might be diversified, the Event Correlation module applies  the adaptive sliding window approach to performing temporal correlation. It (1) aggregates  the events of the same attack strategy from one log, (2) correlates with the events of different",Publication,319,39
