"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Table of contents","",,"2019 4th International Conference on Computer Science and Engineering (UBMK)","21 Nov 2019","2019","","","10","20","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-3964-7","10.1109/UBMK.2019.8907096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8907096","","","","","","","","","","21 Nov 2019","","","IEEE","IEEE Conferences"
"Table of contents","",,"2020 16th International Conference on Mobility, Sensing and Networking (MSN)","7 Apr 2021","2020","","","5","23","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-9916-0","10.1109/MSN50589.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394260","","","","","","","","","","7 Apr 2021","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 International Conference on Electronics and Sustainable Communication Systems (ICESC)","4 Aug 2020","2020","","","1","11","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4108-4","10.1109/ICESC48915.2020.9155566","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155566","","","","","","","","","","4 Aug 2020","","","IEEE","IEEE Conferences"
"Program","",,"2020 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom)","27 Oct 2020","2020","","","i","vi","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-7281-7127-2","10.1109/BlackSeaCom48709.2020.9235012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9235012","","","","","","","","","","27 Oct 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 IEEE Third International Conference on Data Science in Cyberspace (DSC)","19 Jul 2018","2018","","","5","24","The following topics are dealt with: learning (artificial intelligence); Internet; data mining; security of data; social networking (online); feature extraction; data privacy; pattern classification; cryptography; neural nets.","","978-1-5386-4210-8","10.1109/DSC.2018.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411826","","","cryptography;data mining;data privacy;feature extraction;Internet;learning (artificial intelligence);neural nets;pattern classification;social networking (online)","learning;data security;social networking;artificial intelligence;data science;cyberspace;neural nets;cryptography;pattern classification;data privacy;feature extraction;data mining;Internet","","","","","","19 Jul 2018","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 57th ACM/IEEE Design Automation Conference (DAC)","9 Oct 2020","2020","","","1","19","Presents the table of contents/splash page of the proceedings record.","0738-100X","978-1-7281-1085-1","10.1109/DAC18072.2020.9218562","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9218562","","","","","","","","","","9 Oct 2020","","","IEEE","IEEE Conferences"
"ITNAC 2020 Program","",,"2020 30th International Telecommunication Networks and Applications Conference (ITNAC)","13 Jan 2021","2020","","","i","xvi","Provides a schedule of conference events and a listing of which papers were presented in each session.","2474-154X","978-1-7281-8827-0","10.1109/ITNAC50341.2020.9315174","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315174","","","","","","","","","","13 Jan 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 9th IEEE Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","15 Aug 2019","2018","","","i","xii","The following topics are dealt with: learning (artificial intelligence); Internet of Things; mobile computing; feature extraction; mobile robots; diseases; health care; medical image processing; object detection; pattern classification.","","978-1-5386-7693-6","10.1109/UEMCON.2018.8796751","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8796751","","","feature extraction;Internet of Things;learning (artificial intelligence);mobile computing;mobile robots","learning (artificial intelligence);Internet of Things;mobile computing;feature extraction;mobile robots;diseases;health care;medical image processing;object detection;pattern classification","","","","","","15 Aug 2019","","","IEEE","IEEE Conferences"
"Program","",,"2019 IEEE Wireless Communications and Networking Conference (WCNC)","31 Oct 2019","2019","","","1","44","Provides a schedule of conference events and a listing of which papers were presented in each session.","1558-2612","978-1-5386-7646-2","10.1109/WCNC.2019.8885932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8885932","","","","","","","","","","31 Oct 2019","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 9th International Congress on Advanced Applied Informatics (IIAI-AAI)","17 May 2021","2020","","","5","22","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-7397-9","10.1109/IIAI-AAI50415.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9430440","","","","","","","","","","17 May 2021","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science (IRI)","10 Sep 2020","2020","","","i","viii","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-1054-7","10.1109/IRI49571.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9191404","","","","","","","","","","10 Sep 2020","","","IEEE","IEEE Conferences"
"SoutheastCon 2019 Final Program","",,"2019 SoutheastCon","5 Mar 2020","2019","","","i","xxxv","Provides a schedule of conference events and a listing of which papers were presented in each session.","1558-058X","978-1-7281-0137-8","10.1109/SoutheastCon42311.2019.9020653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020653","","","","","","","","","","5 Mar 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"2020 IEEE Symposium Series on Computational Intelligence (SSCI)","5 Jan 2021","2020","","","xvi","xl","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-2547-3","10.1109/SSCI47803.2020.9308155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9308155","","","","","","","","","","5 Jan 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 IEEE 3rd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","16 Dec 2018","2018","","","1","38","Presents the table of contents/splash page of the proceedings record.","2381-0947","978-1-5386-4509-3","10.1109/IAEAC.2018.8577244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577244","","","","","","","","","","16 Dec 2018","","","IEEE","IEEE Conferences"
